date,high,low,open,close,volume,quoteVolume,weightedAverage
2017-04-01,2.0498997894929385,1.8879263032115106,1.965096411367589,2.0216733831598472,943615.568351,131062.2506865,7.19975098
2017-04-02,2.1610215286722587,1.965712776351493,2.0281492972917343,2.122249507652665,2098557.6958279,266729.99347486,7.86772296
2017-04-03,2.262804227144532,2.0149030205422647,2.1222494645383727,2.151006103534605,2002899.7458136,231412.88819528,8.6550916
2017-04-04,2.2522667032325114,2.0994815611394033,2.1471002252003792,2.2126602935623345,2063447.2098464,228802.63218481,9.01845922
2017-04-05,2.5649493574615367,2.175888007484817,2.2126602935623345,2.517696470998088,5523121.0368373,512198.70416259,10.78316089
2017-04-06,2.5336968131637816,2.2925347571405443,2.517696472610991,2.3869262414277967,6472077.4495072,566271.95403973,11.42927422
2017-04-07,2.424802725718295,2.247072383063787,2.38232007948012,2.3075725141070675,2677280.5421821,259845.95507158,10.30333738
2017-04-08,2.4265710612909377,2.2952060083921966,2.3075725151020925,2.3797312021892094,1044808.2120067,96535.30321699,10.82306863
2017-04-09,2.4024305763800404,2.191765257888802,2.3797312021892094,2.233235013787441,3514656.7211809,361908.67512866,9.71144645
2017-04-10,2.322387720290225,2.197446774870741,2.2300144001592104,2.2935445743761798,1281751.0840011,132747.2747475,9.65557361
2017-04-11,2.3427668826268775,2.254444717666111,2.2925347581506452,2.2765696057907636,1598697.7544834,162176.44498953,9.8577679
2017-04-12,2.516889695641051,2.2760358142402777,2.2760358142402777,2.4740986085981302,4398827.6214885,380658.34491176,11.55584182
2017-04-13,2.479475244709101,2.3767629609907104,2.470626575634729,2.4159137783010487,1576821.4177982,139670.56788613,11.28957547
2017-04-14,2.507564690788527,2.4085788181324275,2.417697889399363,2.4848983155866042,1732307.4851541,148412.29646413,11.67226386
2017-04-15,2.5257286443082556,2.427851172708705,2.4848983155866042,2.468947486263096,1400586.1879487,117682.9268811,11.90135413
2017-04-16,2.4937837927697926,2.4553061800117097,2.468947486263096,2.4898941912990393,629659.34562811,52888.61047828,11.90538643
2017-04-17,2.5726122302071057,2.4362414804313914,2.490306481917471,2.4553061800117097,2652808.5809337,214096.05656155,12.39074004
2017-04-18,2.483155116749194,2.3978952727983707,2.462047352231509,2.4466853936777584,3333361.2491142,290334.95240846,11.48108838
2017-04-19,2.4501426573516603,2.3547030472561525,2.4466853936777584,2.3683728335320486,1635879.9733557,148548.1615859,11.01245519
2017-04-20,2.4765384001174837,2.353373254123271,2.365559892155434,2.4487194068747042,2196463.1858783,193423.1835917,11.35573898
2017-04-21,2.614633090777287,2.4363289639184553,2.4487194068747042,2.5576225813001883,3230199.6385354,253958.42806537,12.71940318
2017-04-22,2.740820668899184,2.5416019950393487,2.556917118301491,2.7408206676088365,4845445.0575428,338854.59233098,14.29948174
2017-04-23,2.853794215731169,2.7226103524335397,2.7408206663184886,2.8120688110071073,6451909.9005951,391092.70360562,16.49713697
2017-04-24,2.8170563523477687,2.714694750443395,2.8170563523477687,2.7834645003533143,3104836.8083578,194779.97192316,15.94022618
2017-04-25,2.8326249356838407,2.7338803778032283,2.785072969345527,2.812942768289227,1885396.3835293,117702.49854579,16.01832082
2017-04-26,2.847272856639083,2.766319109226186,2.812942768289227,2.7887081041196646,3126729.1245167,187753.38306549,16.65338367
